eski_nom,powo_qabul_qilgan_nom,powo_id,holat
Alhagi sparsifolia Shap.,,,POWO'da topilmadi
Ammodendron floribundum Zing.,,,POWO'da topilmadi
Atriplex nitens Schkuhr.,Atriplex sagittata,urn:lsid:ipni.org:names:164128-1,POWO: sinonim
Calligonum triste Litv.,Calligonum triste,urn:lsid:ipni.org:names:693417-1,POWO: qabul qilingan nom
Ceratoides fruticulosa Pazij,Krascheninnikovia fruticulosa,urn:lsid:ipni.org:names:984560-1,POWO: sinonim
Cyperus glomeratus L.,Cyperus glomeratus,urn:lsid:ipni.org:names:304626-1,POWO: qabul qilingan nom
Delphinium inopinatum Nevski,Delphinium inopinatum,urn:lsid:ipni.org:names:710697-1,POWO: qabul qilingan nom
Ferula assa-foetida L.,Ferula assa-foetida,urn:lsid:ipni.org:names:842190-1,POWO: qabul qilingan nom
Glycyrrhiza zaissanica Serg.,Glycyrrhiza zaissanica,urn:lsid:ipni.org:names:496979-1,POWO: qabul qilingan nom
Horaninowia sogdiana Blag.,,,POWO'da topilmadi
Isatis violascens Bunge,Isatis violascens,urn:lsid:ipni.org:names:285884-1,POWO: qabul qilingan nom
Nanophyton sibirica (Pall.) Bunge,,,POWO'da topilmadi
Nuphar lutea (L.) Smith,Nuphar lutea,urn:lsid:ipni.org:names:30385379-2,POWO: qabul qilingan nom
Psammogeton borszczovii (Rgl. et Schmalh.) Lipsky,,,POWO'da topilmadi
Psammogeton setifolium (Boiss.) Boiss.,Cuminum cyminum,urn:lsid:ipni.org:names:840882-1,POWO: qabul qilingan nom (epitet mos emas — tekshiring)
Stipa bella Drob.,Stipa drobovii,urn:lsid:ipni.org:names:984771-1,POWO: sinonim
Stipa korshinskyi Roshev.,Stipa korshinskyi,urn:lsid:ipni.org:names:423452-1,POWO: qabul qilingan nom
Stipa spiridonovii Roshev.,Stipa × pseudocapillata,urn:lsid:ipni.org:names:423677-1,POWO: sinonim
Tamarix smirnensis Bunge,,,POWO'da topilmadi
Typha grossheimii Pobed.,Typha grossheimii,urn:lsid:ipni.org:names:836859-1,POWO: qabul qilingan nom
Zygophyllum fabago L. var. oxianum (Boriss.) Kitam.,Zygophyllum fabago,urn:lsid:ipni.org:names:873557-1,POWO: qabul qilingan nom
